ID_Venda,Data_Venda,Cliente,Animal,Produto,Valor,Pagamento,Vendedor
33,2023-07-07,Pedro Silva,pássaro,brinquedo,388.32,cartão,Mateus Silva
34,2023-02-20,Isabela Oliveira,pássaro,higiene,485.17,dinheiro,Isabela Pereira
35,2023-01-15,Mateus Carvalho,peixe,acessório,112.22,cartão,Isabela Santos
36,2023-10-06,Isabela Carvalho,cachorro,remédio,143.22,cartão,Lucas Ribeiro
37,2023-07-19,Mateus Pereira,cachorro,brinquedo,127.19,cartão,Laura Santos
38,2023-07-24,Gabriel Carvalho,peixe,higiene,196.95,cartão,Gabriel Santos
39,2023-05-03,Isabela Costa,pássaro,higiene,424.39,dinheiro,Mateus Ribeiro
40,2023-04-10,Isabela Gomes,roedor,ração,190.88,pix,Sofia Rodrigues
41,2023-01-25,João Almeida,pássaro,remédio,370.14,cartão,Gabriel Silva
42,2023-05-03,Mateus Pereira,pássaro,ração,54.51,dinheiro,Mateus Gomes
43,2023-12-24,Ana Pereira,peixe,ração,242.49,cartão,Maria Rodrigues
44,2023-12-03,Lucas Almeida,peixe,remédio,279.92,cartão,Isabela Rodrigues
45,2023-09-15,Laura Costa,cachorro,higiene,130.53,cartão,Mateus Silva
46,2023-02-15,Ana Carvalho,pássaro,acessório,294.89,pix,Lucas Rodrigues
47,2023-07-21,João Almeida,gato,ração,383.41,cartão,Sofia Pereira
48,2023-05-18,Pedro Costa,gato,acessório,391.23,pix,Laura Gomes
49,2023-05-13,Gabriel Gomes,peixe,brinquedo,217.49,dinheiro,Isabela Oliveira
50,2023-08-10,Ana Gomes,pássaro,remédio,350.99,cartão,Sofia Carvalho
51,2023-04-01,Ana Costa,roedor,higiene,324.41,cartão,Pedro Ribeiro
52,2023-11-29,Maria Carvalho,cachorro,ração,189.28,cartão,Laura Rodrigues
53,2023-03-27,Laura Santos,roedor,remédio,153.69,pix,Laura Silva
54,2023-11-14,Maria Gomes,gato,higiene,48.03,cartão,Isabela Silva
55,2023-03-12,Isabela Rodrigues,peixe,higiene,307.42,cartão,Ana Silva
56,2023-08-05,João Gomes,pássaro,acessório,16.6,pix,Maria Oliveira
57,2023-09-10,Gabriel Ribeiro,roedor,remédio,285.67,cartão,Pedro Carvalho
58,2023-01-19,Mateus Pereira,peixe,acessório,80.35,cartão,João Rodrigues
59,2023-07-10,Lucas Oliveira,gato,higiene,24.32,cartão,Isabela Rodrigues
60,2023-06-17,João Costa,roedor,brinquedo,360.59,cartão,Ana Oliveira
61,2023-01-24,Ana Rodrigues,peixe,higiene,412.96,pix,Isabela Almeida
62,2023-05-07,Ana Silva,cachorro,ração,141.53,pix,Gabriel Carvalho
63,2023-11-08,Ana Santos,cachorro,brinquedo,460.13,dinheiro,Ana Ribeiro
64,2023-01-17,Laura Silva,peixe,ração,360.1,pix,Ana Pereira
65,2023-06-18,Pedro Silva,cachorro,remédio,103.72,cartão,Pedro Costa
66,2023-02-28,Gabriel Silva,gato,acessório,53.65,dinheiro,Laura Rodrigues
67,2023-12-03,Mateus Carvalho,peixe,brinquedo,392.68,cartão,Mateus Gomes
68,2023-04-10,Lucas Pereira,cachorro,remédio,46.54,pix,Sofia Pereira
69,2023-04-08,Mateus Ribeiro,gato,brinquedo,394.17,pix,Gabriel Santos
70,2023-03-18,Isabela Oliveira,peixe,brinquedo,306.29,dinheiro,Sofia Silva
71,2023-08-21,Pedro Silva,pássaro,ração,332.68,pix,João Costa
72,2023-11-27,Laura Oliveira,peixe,brinquedo,167.58,cartão,Isabela Oliveira
73,2023-10-01,Sofia Rodrigues,cachorro,higiene,49.12,pix,Lucas Santos
74,2023-11-10,Gabriel Rodrigues,roedor,brinquedo,58.9,dinheiro,Gabriel Santos
75,2023-06-14,Laura Ribeiro,cachorro,brinquedo,172.45,dinheiro,Lucas Carvalho
76,2023-08-17,Lucas Rodrigues,pássaro,higiene,416.13,dinheiro,Laura Oliveira
77,2023-12-27,João Santos,peixe,higiene,42.69,cartão,Pedro Almeida
78,2023-10-18,Ana Oliveira,peixe,higiene,169.59,pix,Ana Gomes
79,2023-04-23,Gabriel Gomes,gato,ração,181.66,pix,Sofia Gomes
80,2023-02-23,Lucas Gomes,peixe,brinquedo,249.78,cartão,Maria Carvalho
81,2023-07-20,João Rodrigues,roedor,acessório,430.98,pix,João Gomes
82,2023-04-03,Lucas Ribeiro,roedor,brinquedo,165.66,cartão,Mateus Oliveira
83,2023-01-29,Gabriel Ribeiro,pássaro,acessório,102.03,cartão,Ana Costa
84,2023-09-08,Maria Ribeiro,pássaro,acessório,145.86,pix,Lucas Gomes
85,2023-12-02,Pedro Almeida,gato,remédio,154.05,cartão,Sofia Carvalho
86,2023-04-10,Isabela Gomes,cachorro,ração,184.49,pix,Ana Almeida
87,2023-10-13,Mateus Rodrigues,gato,acessório,489.2,cartão,Pedro Pereira
88,2023-02-09,João Ribeiro,cachorro,acessório,212.38,cartão,Ana Silva
89,2023-09-04,Maria Silva,gato,brinquedo,483.31,pix,Isabela Oliveira
90,2023-01-26,Pedro Santos,roedor,brinquedo,120.92,pix,João Rodrigues
91,2023-01-26,Gabriel Almeida,gato,higiene,144.64,dinheiro,Laura Silva
92,2023-07-02,Lucas Pereira,peixe,remédio,74.1,dinheiro,Lucas Silva
93,2023-04-04,Pedro Oliveira,pássaro,remédio,264.51,cartão,Sofia Silva
94,2023-10-27,Mateus Ribeiro,cachorro,acessório,284.8,dinheiro,Maria Ribeiro
95,2023-03-23,Gabriel Pereira,pássaro,acessório,274.16,dinheiro,Maria Carvalho
96,2023-02-20,Pedro Pereira,pássaro,higiene,297.27,dinheiro,Gabriel Pereira
97,2023-10-17,Mateus Ribeiro,peixe,ração,91.94,dinheiro,Pedro Rodrigues
98,2023-03-20,Mateus Rodrigues,pássaro,ração,470.0,cartão,João Rodrigues
99,2023-10-09,João Santos,roedor,acessório,234.19,cartão,Gabriel Ribeiro
100,2023-03-22,Ana Ribeiro,gato,acessório,130.92,dinheiro,Lucas Ribeiro
101,2023-04-29,Pedro Gomes,roedor,ração,111.52,cartão,Sofia Costa
102,2023-05-31,Gabriel Silva,cachorro,ração,491.6,dinheiro,Isabela Pereira
103,2023-02-16,Ana Almeida,cachorro,brinquedo,241.76,dinheiro,Gabriel Oliveira
104,2023-01-16,Pedro Silva,roedor,acessório,139.64,pix,Lucas Oliveira
105,2023-03-14,Ana Silva,pássaro,remédio,229.18,pix,Sofia Pereira
106,2023-04-11,Gabriel Rodrigues,roedor,acessório,472.76,pix,Pedro Oliveira
107,2023-08-26,Laura Carvalho,pássaro,remédio,219.94,dinheiro,Maria Oliveira
108,2023-10-02,João Rodrigues,peixe,brinquedo,427.53,cartão,Isabela Pereira
109,2023-11-17,Gabriel Gomes,gato,acessório,296.5,cartão,Gabriel Costa
110,2023-06-24,Pedro Almeida,pássaro,brinquedo,429.7,pix,Pedro Rodrigues
111,2023-03-20,Laura Pereira,roedor,ração,193.58,pix,Gabriel Silva
112,2023-06-24,Laura Silva,gato,acessório,19.4,dinheiro,Lucas Costa
113,2023-02-10,Sofia Costa,peixe,ração,310.4,dinheiro,Mateus Gomes
114,2023-11-16,Ana Carvalho,cachorro,brinquedo,464.79,cartão,Mateus Santos
115,2023-01-25,Lucas Rodrigues,pássaro,higiene,323.41,cartão,Isabela Carvalho
116,2023-11-12,Laura Gomes,roedor,ração,280.43,cartão,Laura Rodrigues
117,2023-05-07,Ana Carvalho,gato,acessório,465.46,cartão,Isabela Pereira
118,2023-08-31,Laura Gomes,roedor,higiene,328.71,cartão,Gabriel Oliveira
119,2023-03-29,Maria Ribeiro,pássaro,remédio,368.68,dinheiro,João Costa
120,2023-09-15,Sofia Pereira,peixe,higiene,33.28,pix,Lucas Santos
121,2023-01-19,Isabela Pereira,pássaro,brinquedo,427.04,cartão,Isabela Carvalho
122,2023-06-01,Sofia Ribeiro,cachorro,higiene,266.58,cartão,Pedro Carvalho
123,2023-06-27,Sofia Rodrigues,roedor,higiene,388.46,cartão,Lucas Ribeiro
124,2023-01-28,Lucas Rodrigues,roedor,brinquedo,11.39,pix,Gabriel Carvalho
125,2023-10-19,Isabela Almeida,peixe,ração,371.5,dinheiro,Sofia Almeida
126,2023-08-05,João Silva,pássaro,acessório,28.7,pix,Ana Gomes
127,2023-03-12,Sofia Silva,cachorro,higiene,472.39,pix,Laura Rodrigues
128,2023-01-18,Laura Oliveira,cachorro,brinquedo,169.06,pix,Ana Santos
129,2023-09-21,Ana Pereira,peixe,acessório,410.87,cartão,Pedro Ribeiro
130,2023-09-04,Mateus Pereira,gato,remédio,401.06,dinheiro,Lucas Carvalho
131,2023-12-26,Sofia Costa,peixe,ração,490.13,cartão,Mateus Oliveira
132,2023-08-16,Maria Carvalho,pássaro,higiene,400.26,dinheiro,Maria Rodrigues
133,2023-05-22,Pedro Carvalho,peixe,remédio,367.28,cartão,Maria Almeida
134,2023-12-03,Lucas Gomes,roedor,higiene,61.06,pix,Pedro Silva
135,2023-06-16,Ana Carvalho,peixe,higiene,246.58,cartão,Maria Gomes
136,2023-06-01,Gabriel Ribeiro,gato,remédio,181.35,dinheiro,Mateus Carvalho
137,2023-01-04,Maria Santos,gato,ração,159.43,dinheiro,Mateus Pereira
138,2023-09-26,Pedro Santos,pássaro,ração,132.45,pix,Mateus Costa
139,2023-08-02,Sofia Gomes,roedor,ração,45.09,dinheiro,Isabela Rodrigues
140,2023-04-04,Ana Gomes,peixe,ração,319.7,dinheiro,Isabela Carvalho
141,2023-09-13,Ana Oliveira,peixe,remédio,118.75,pix,Ana Ribeiro
142,2023-08-04,Lucas Silva,gato,ração,199.12,cartão,Gabriel Carvalho
143,2023-12-06,Laura Rodrigues,cachorro,higiene,487.26,cartão,João Silva
144,2023-09-10,Ana Gomes,cachorro,brinquedo,150.45,dinheiro,Laura Ribeiro
145,2023-06-07,Ana Pereira,peixe,brinquedo,354.41,cartão,Gabriel Almeida
146,2023-10-06,Gabriel Pereira,peixe,brinquedo,223.7,cartão,Maria Ribeiro
147,2023-04-29,Ana Oliveira,gato,acessório,313.53,dinheiro,Sofia Carvalho
148,2023-02-01,Isabela Gomes,peixe,ração,46.89,dinheiro,Pedro Almeida
149,2023-09-29,Sofia Gomes,pássaro,remédio,241.95,cartão,Isabela Ribeiro
150,2023-01-07,Sofia Oliveira,peixe,higiene,466.52,cartão,Maria Carvalho
151,2023-02-15,Gabriel Oliveira,gato,remédio,34.73,pix,Mateus Santos
152,2023-02-16,Ana Gomes,gato,ração,190.21,pix,Isabela Carvalho
153,2023-11-23,Mateus Gomes,peixe,ração,89.22,dinheiro,Isabela Almeida
154,2023-08-10,Laura Santos,roedor,ração,469.42,dinheiro,Ana Pereira
155,2023-04-24,João Gomes,cachorro,brinquedo,361.2,pix,Gabriel Carvalho
156,2023-08-27,Ana Ribeiro,gato,higiene,480.66,dinheiro,Laura Pereira
157,2023-02-13,Isabela Oliveira,pássaro,brinquedo,213.24,dinheiro,Lucas Oliveira
158,2023-12-07,João Gomes,cachorro,remédio,180.5,pix,Pedro Pereira
159,2023-04-02,Sofia Pereira,gato,ração,436.42,pix,Lucas Almeida
160,2023-01-30,Maria Almeida,gato,ração,30.12,dinheiro,João Costa
161,2023-11-07,Pedro Oliveira,pássaro,brinquedo,494.31,pix,Lucas Almeida
162,2023-11-15,Mateus Silva,pássaro,higiene,387.66,dinheiro,Isabela Ribeiro
163,2023-11-26,João Santos,gato,brinquedo,294.29,cartão,Maria Almeida
164,2023-09-01,Isabela Pereira,pássaro,brinquedo,387.49,dinheiro,Maria Costa
165,2023-12-28,Mateus Almeida,cachorro,acessório,354.8,pix,Laura Costa
166,2023-12-07,Lucas Rodrigues,peixe,acessório,72.46,cartão,Mateus Almeida
167,2023-10-30,Lucas Oliveira,peixe,remédio,383.3,dinheiro,Maria Carvalho
168,2023-04-01,Laura Silva,roedor,acessório,231.31,dinheiro,Isabela Gomes
169,2023-07-24,Gabriel Silva,pássaro,ração,253.29,dinheiro,João Silva
170,2023-04-23,Mateus Carvalho,cachorro,acessório,413.52,cartão,João Santos
171,2023-07-02,Ana Ribeiro,gato,acessório,268.78,cartão,Sofia Rodrigues
172,2023-10-20,Ana Ribeiro,gato,acessório,156.42,pix,Laura Silva
173,2023-09-22,Sofia Silva,pássaro,higiene,185.84,pix,Laura Almeida
174,2023-05-08,João Almeida,pássaro,acessório,380.94,cartão,Pedro Ribeiro
175,2023-05-03,Laura Silva,roedor,acessório,199.05,cartão,João Oliveira
176,2023-05-17,Lucas Costa,roedor,remédio,219.12,pix,Laura Gomes
177,2023-05-15,Lucas Gomes,pássaro,acessório,151.98,dinheiro,Laura Almeida
178,2023-06-15,Mateus Carvalho,cachorro,higiene,157.55,pix,Isabela Carvalho
179,2023-05-19,Pedro Gomes,gato,higiene,338.94,pix,Pedro Pereira
180,2023-06-05,Lucas Almeida,peixe,remédio,458.03,dinheiro,Ana Costa
181,2023-09-06,João Ribeiro,peixe,higiene,386.39,pix,Ana Costa
182,2023-01-12,Sofia Pereira,peixe,higiene,132.38,cartão,João Costa
183,2023-07-14,Laura Ribeiro,cachorro,higiene,109.96,cartão,Laura Silva
184,2023-09-17,Mateus Rodrigues,gato,ração,294.27,pix,Pedro Gomes
185,2023-09-12,Pedro Gomes,roedor,ração,330.27,dinheiro,Ana Almeida
186,2023-02-11,Laura Pereira,pássaro,acessório,189.82,dinheiro,Isabela Almeida
187,2023-02-11,Isabela Santos,peixe,remédio,250.39,cartão,Isabela Rodrigues
188,2023-03-19,Gabriel Ribeiro,roedor,ração,453.47,dinheiro,Ana Silva
189,2023-08-19,Mateus Gomes,pássaro,ração,312.43,cartão,Maria Gomes
190,2023-02-26,João Santos,roedor,acessório,443.8,dinheiro,Lucas Costa
191,2023-01-05,Maria Costa,gato,remédio,492.5,dinheiro,Isabela Almeida
192,2023-03-13,Laura Silva,gato,brinquedo,155.0,pix,Pedro Pereira
193,2023-11-11,Isabela Almeida,peixe,brinquedo,237.5,cartão,Ana Costa
194,2023-08-18,Laura Santos,roedor,acessório,483.43,dinheiro,Mateus Santos
195,2023-06-15,Maria Silva,pássaro,higiene,317.66,pix,João Almeida
196,2023-08-12,Sofia Rodrigues,pássaro,brinquedo,71.32,cartão,Laura Ribeiro
197,2023-06-23,Isabela Ribeiro,pássaro,ração,405.88,cartão,Ana Almeida
198,2023-05-14,Pedro Silva,pássaro,ração,30.16,dinheiro,Lucas Costa
199,2023-08-01,João Carvalho,gato,brinquedo,376.75,pix,Gabriel Silva
200,2023-03-01,Ana Almeida,gato,higiene,87.5,pix,Sofia Gomes
